epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,73.2901,0.15617,0.9065,1,0.27547,0.000330484,0.000330484,0.0672821
2,145.154,0.11238,0.81024,1,1.01932,0.000663564,0.000663564,0.0342818
3,214.434,0.09217,0.95737,1,0.13172,0.000995629,0.000995629,0.00128053
4,283.544,0.06919,0.88347,1,0.42518,0.000996569,0.000996569,0.000996569
5,351.663,0.06513,0.94569,1,0.16574,0.000993906,0.000993906,0.000993906
6,419.648,0.06116,0.9144,1,0.32323,0.000990489,0.000990489,0.000990489
7,487.846,0.05127,0.9199,1,0.24291,0.000986323,0.000986323,0.000986323
8,557.148,0.02559,0.97044,1,0.09516,0.000981415,0.000981415,0.000981415
9,625.412,0.02166,0.94259,1,0.18861,0.000975773,0.000975773,0.000975773
10,693.602,0.03643,0.96872,1,0.10174,0.000969405,0.000969405,0.000969405
11,762.043,0.03853,0.93022,1,0.20403,0.00096232,0.00096232,0.00096232
12,830.931,0.03805,0.94259,1,0.2023,0.000954531,0.000954531,0.000954531
13,899.243,0.03032,0.8515,1,0.59996,0.000946048,0.000946048,0.000946048
14,967.613,0.02192,0.91028,1,0.2976,0.000936886,0.000936886,0.000936886
15,1035.88,0.02758,0.95634,1,0.12697,0.000927057,0.000927057,0.000927057
16,1104.23,0.02096,0.92678,1,0.23124,0.000916577,0.000916577,0.000916577
17,1172.66,0.02371,0.91131,1,0.28895,0.000905463,0.000905463,0.000905463
18,1241.13,0.0265,0.92265,1,0.23944,0.000893732,0.000893732,0.000893732
19,1309.69,0.0129,0.81093,1,1.07503,0.000881401,0.000881401,0.000881401
20,1378.4,0.0156,0.96769,1,0.10912,0.00086849,0.00086849,0.00086849
21,1446.9,0.01543,0.9725,1,0.08984,0.000855018,0.000855018,0.000855018
22,1515.45,0.0132,0.91922,1,0.23678,0.000841006,0.000841006,0.000841006
23,1583.93,0.01256,0.98247,1,0.06577,0.000826477,0.000826477,0.000826477
24,1652.55,0.02115,0.99622,1,0.01911,0.000811452,0.000811452,0.000811452
25,1721.41,0.02595,0.95669,1,0.14473,0.000795954,0.000795954,0.000795954
26,1789.85,0.01991,0.8955,1,0.35017,0.000780007,0.000780007,0.000780007
27,1858.5,0.00893,0.95634,1,0.12007,0.000763637,0.000763637,0.000763637
28,1926.82,0.01899,0.95256,1,0.15168,0.000746868,0.000746868,0.000746868
29,1995.36,0.016,0.90168,1,0.30019,0.000729725,0.000729725,0.000729725
30,2063.57,0.01019,0.95737,1,0.13327,0.000712237,0.000712237,0.000712237
31,2132.18,0.01137,0.93984,1,0.22643,0.000694428,0.000694428,0.000694428
32,2200.54,0.01208,0.88484,1,0.52935,0.000676328,0.000676328,0.000676328
33,2269.03,0.00326,0.87212,1,0.6351,0.000657963,0.000657963,0.000657963
34,2337.21,0.00884,0.90615,1,0.40651,0.000639363,0.000639363,0.000639363
35,2405.41,0.008,0.94775,1,0.20888,0.000620555,0.000620555,0.000620555
36,2473.73,0.00598,0.96425,1,0.16857,0.00060157,0.00060157,0.00060157
37,2542.2,0.00622,0.91784,1,0.32906,0.000582435,0.000582435,0.000582435
38,2609.53,0.00435,0.94019,1,0.2579,0.000563181,0.000563181,0.000563181
39,2677.69,0.00329,0.99587,1,0.02545,0.000543837,0.000543837,0.000543837
